source_path,source_relative_path,stage,input_format,decoder_method,status,input_bytes,output_bytes,expected_length,eof_verified,note
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9613a/rep.turnvols.Z,model_setup/bethesda_slate/rf9613a/rep.turnvols.Z,1,unix_compress_lzw,internal_compress_lzw,partial,5345,2,,no,compress invalid code 259 with table end 257
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9613a/statistics.Z,model_setup/bethesda_slate/rf9613a/statistics.Z,1,unix_compress_lzw,internal_compress_lzw,partial,550,1177,,no,compress invalid code 861 with table end 668
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9613a/turnvols.in.Z,model_setup/bethesda_slate/rf9613a/turnvols.in.Z,1,unix_compress_lzw,internal_compress_lzw,partial,22718,1265,,no,compress invalid code 854 with table end 664
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9618a/d231.in.Z,model_setup/bethesda_slate/rf9618a/d231.in.Z,1,unix_compress_lzw,internal_compress_lzw,partial,48780,2645,,no,compress invalid code 1394 with table end 1023
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9618a/d231.out.Z,model_setup/bethesda_slate/rf9618a/d231.out.Z,1,unix_compress_lzw,internal_compress_lzw,partial,47261,1273,,no,compress invalid code 869 with table end 712
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9618a/plt.vcr9618.Z,model_setup/bethesda_slate/rf9618a/plt.vcr9618.Z,1,unix_compress_lzw,internal_compress_lzw,partial,502879,133,,no,compress invalid code 446 with table end 354
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9618a/rep.521dd.Z,model_setup/bethesda_slate/rf9618a/rep.521dd.Z,1,unix_compress_lzw,internal_compress_lzw,partial,8806,2328,,no,compress invalid code 1471 with table end 1159
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9618a/rep.611.Z,model_setup/bethesda_slate/rf9618a/rep.611.Z,1,unix_compress_lzw,internal_compress_lzw,partial,103167,1063,,no,compress invalid code 862 with table end 716
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9618a/rep.critical.Z,model_setup/bethesda_slate/rf9618a/rep.critical.Z,1,unix_compress_lzw,internal_compress_lzw,partial,5566,14726,,no,compress invalid code 3502 with table end 2891
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9618a/rep.sigstat.Z,model_setup/bethesda_slate/rf9618a/rep.sigstat.Z,1,unix_compress_lzw,internal_compress_lzw,partial,69353,101,,no,compress invalid code 323 with table end 321
