         nl   nt   nr   sr   st   sl   el   et   er   wr   wt   wl
 16703  238 1533   66    1 3108  112  160  -27  276   40   18  166
 16735  121  877    6   68 1773   22   60  119   18   27   63   47
 16743   28  919    0   10 1884    0   10    0  -31    0    0    0
 16745    0    0    0    0    0    0    0    0    0    0    0    0
 16746    0    0    0    0    0    0    0    0    0    0    0    0
 16749    0    0    0    0    0    0    0    0    0    0    0    0
 16763  247 1688   69  514 2503   65  240  165  626  159  468  102
 16764    0    0    0    0    0    0    0    0    0    0    0    0
 16765    0 1578  806    0 2588    0    0    0   93    8    0  610
 16767  293    0    8    7    1    9   -4  932   49   90 1095   93
 16769    0    0    0    0    0    0    0    0    0    0    0    0
 16770    0    0    0    0    0    0    0    0    0    0    0    0
 16775    0    0    0    0    0    0    0    0    0    0    0    0
 16776    0    0    0    0    0    0    0    0    0    0    0    0
 16777    0    0    0    0    0    0    0    0    0    0    0    0
 16778    0    0    0    0    0    0    0    0    0    0    0    0
 16779    0    0    0    0    0    0    0    0    0    0    0    0
 16780    0    0    0    0    0    0    0    0    0    0    0    0
 16781   97  -25  259   57  317   22   70  682   18   70 1639  722
 16782    0  186   27    0  253  -30    0    0    0   24    0   33
 16783    0 1680    0    0 2531    0    0    0   -4    0    0    0
 16785    0    0    0    0    0    0    0    0    0    0    0    0
 16786    0    0    0    0    0    0    0    0    0    0    0    0
 16787    0    0    0    0    0    0    0    0    0    0    0    0
 16788    0    0    0    0    0    0    0    0    0    0    0    0
 16789    0    0    0    0    0    0    0    0    0    0    0    0
 16790    0    0    0    0    0    0    0    0    0    0    0    0
 16791    0    0    0    0    0    0    0    0    0    0    0    0
 16794    0    0    0    0    0    0    0    0    0    0    0    0
 16795   18  391   20  172    0    0   71   51   50   66   80  -44
 16796    0    0    0    0    0    0    0    0    0    0    0    0
 16797    0    0    0    0    0    0    0    0    0    0    0    0
 16798    0    0    0    0    0   74    0    0    0   19    0    0
 16799    0    0    0    0    0    0    0    0    0    0    0    0
 16800    0    0    0    0    0    0    0    0    0    0    0    0
 16801    0    0    0    0    0    0    0    0    0    0    0    0
 16802    0    0    0    0    0    0    0    0    0    0    0    0
 16803    0    0    0    0    0    0    0    0    0    0    0    0
 16804    0    0    0    0    0    0    0    0    0    0    0    0
 16854    0    0    0    0    0    0    0    0    0    0    0    0
 16882    0    0    0    0    0    0    0    0    0    0    0    0
 16883    0    0    0    0    0    0    0    0    0    0    0    0
 16884    0    0    0    0    0    0    0    0    0    0    0    0
 16885    0    0    0    0    0    0    0    0    0    0    0    0
 16886    0    0    0    0    0    0    0    0    0    0    0    0
 16887    0    0    0    0    0    0    0    0    0    0    0    0
 16888    0    0    0    0    0    0    0    0    0    0    0    0
 16889    0    0    0    0    0    0    0    0    0    0    0    0
 16890    0    0    0    0    0    0    0    0    0    0    0    0
 16891    0    0    0    0    0    0    0    0    0    0    0    0
 16894    0    0    0    0    0    0    0    0    0    0    0    0
 16896    0    0    0    0    0    0    0    0    0    0    0    0
 16897    0    0    0    0    0    0    0    0    0    0    0    0
 16898    0    0    0    0    0    0    0    0    0    0    0    0
 16899    0    0    0    0    0    0    0    0    0    0    0    0
 16900    0    0    0    0    0    0    0    0    0    0    0    0
